sources,destinations,protocol,ecn,checksum,packet_time
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.024984
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000036
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000035
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.050129
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.028249
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000034
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000044
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.009965
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000035
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000038
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000024
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.050388
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000033
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000046
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.024682
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000048
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000044
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.054815
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.00004
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000036
