sources,destinations,protocol,ecn,checksum,packet_time
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0249840
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000360
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000350
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0501290
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0282490
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000340
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000440
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0099650
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000350
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000380
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000240
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0503880
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000370
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000370
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000330
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000460
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0246820
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000480
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000440
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0000370
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.0548150
